230 Babcock St #1G,Hamilton,,,http://www.youtube.com/watch?v=uVsc3iGsWEQ
62 boylston # 214,hamilton,,,http://www.youtube.com/watch?v=mMQswb9W2gU&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
40 boylston # 503,hamilton,,,http://www.youtube.com/watch?v=rb_xxt_FSd8&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
131 washington # 2,hamilton,,,http://www.youtube.com/watch?v=jOGS0pYf0QY&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
Dexter #203,Hamilton,,,http://www.youtube.com/watch?v=v2GBRkmJI5Q
283 St Paul St #1,Hamilton,,,http://www.youtube.com/watch?v=Yaa2i6OExJc
145 Freeman St #1,Hamilton,,,http://www.youtube.com/watch?v=ai0FMlceudk
154 North Beacon #a4,Hamilton,,,http://www.youtube.com/watch?v=0737k6DUDSk&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
9 Gardner Terrace #1,Hamilton,,,http://www.youtube.com/watch?v=SiSvOy8GbYc&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
34 Gardner # 4,hamilton,,,http://www.youtube.com/watch?v=HYPrbhn_HIs&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
23 brighton ave # 5,hamilton,,,http://www.youtube.com/watch?v=r3cPTEbrNzQ&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
83 Gardner St #1,Hamilton,,,http://www.youtube.com/watch?v=wBjMxYFYdEA
1148 Comm Ave #46,Hamilton,,,http://www.youtube.com/watch?v=doetjJysTIw
Atrium #451,Hamilton,,,http://www.youtube.com/watch?v=0AayThiRRyU
Atrium #334,Hamilton,,,http://www.youtube.com/watch?v=6_-qMKn1bfY
1126 Boylston #309,Hamilton,,,http://www.youtube.com/watch?v=Uv0jV2pzdtQ
131 washington # 47,Hamilton,,,http://www.youtube.com/watch?v=Q4joc4YdyUU
19 Brighton Ave #1,Hamilton,,,http://www.youtube.com/watch?v=kP8QE68HIiU
Atrium #409,Hamilton,,,https://www.youtube.com/watch?v=jAl_bRDeguQ
Atrium #313,Hamilton,,,https://www.youtube.com/watch?v=-_wV8VxeYJE
110 Second St #113,Hamilton,,,http://www.youtube.com/watch?v=hGxt6G6I3r4
110 Second St #PH11,Hamilton,,,http://www.youtube.com/watch?v=B9KsT0kjHlU
Atrium #503,Hamilton,,,http://www.youtube.com/watch?v=akU-Az83yhU
1126 Boylston St #302,Hamilton,,,http://www.youtube.com/watch?v=UiXhyMOpCNg
34 Gardner,Hamilton,,,http://www.youtube.com/watch?v=HlZsTh0uJQg&list=UUmKG0Rcx-l-f-MZE1TcwALA&feature=c4-overview
141 Franklin St #1,Harry,,,http://www.youtube.com/watch?v=9KqP6sFxzy8
752 Tremont # 2,Heath,,,http://www.youtube.com/watch?v=Gufhb695jAo
67 Gordon st,Henry Chan,,,http://www.youtube.com/watch?v=sGX0y4ggLhY
23 saratoga # 2 duplex,Ian Vaz,,,http://www.youtube.com/watch?v=Pn9thzkFpnA
23 Saratoga # 1,Ian Vaz,,,http://www.youtube.com/watch?v=vhCkhOfJrEw
45 Longwood Ave #309,Jamie K,,,http://www.youtube.com/watch?v=4-ti29Y_VHs
235 Parsons #2,Jardus,,,http://www.youtube.com/watch?v=pkNIziWknFQ
14 Browne St #1A,Jessica Garrett,,,http://www.youtube.com/watch?v=0jorSPSd1ug
12 Newcastle Rd,Jerry (Ian),,,http://www.youtube.com/watch?v=xdhs1OyhyGs
46 Westland (Basement),Joy,,,http://www.youtube.com/watch?v=Cy-50qBz5mA&feature=youtu.be
46 Westland #7,Joy,,,http://www.youtube.com/watch?v=chugi7W36K8&feature=youtu.be
28 Westland #24,Joy,,,http://www.youtube.com/watch?v=NZ_t3Ie0124&feature=youtu.be
143 Park Drive #3,Joy,,,http://www.youtube.com/watch?v=jGlm_dFg9GE&feature=youtu.be
143 Park Drive #33,Joy,,,http://www.youtube.com/watch?v=1CnPILrdavU&feature=youtu.be
143 Park Drive #29,Joy,,,http://www.youtube.com/watch?v=ZiD6TNxRkf8&feature=youtu.be
137 Park Drive #19,Joy,,,http://www.youtube.com/watch?v=FsTv_h2H2Ew&feature=youtu.be
11 Tetlow St #43,Joy,,,http://www.youtube.com/watch?v=kpWN6ByKIG4&feature=youtu.be
14 Palace Rd #4,Joy,,,http://www.youtube.com/watch?v=Nnvy4P8TkSs&feature=youtu.be
14 Palace Rd #15,Joy,,,http://www.youtube.com/watch?v=IUr3puGhNJU&feature=youtu.be
14 Palace Rd #20,Joy,,,http://www.youtube.com/watch?v=NrzUFGgq1KM&feature=youtu.be
27 Bennett St,Karen O'Sullivan,,,http://www.youtube.com/watch?v=IlxCeKKqdlg&feature=youtu.be
104 Dustin St,Karen O'Sullivan,,,http://www.youtube.com/watch?v=0tVQlqbpKaU
331 Faneuil #1,Keegan,,,http://www.youtube.com/watch?v=rycGeqHunJM&feature=youtu.be
41 Easton #3,Keegan,,,http://www.youtube.com/watch?v=xwIXYG-g0oY&feature=youtu.be
